dataset,image_id,identity_id,seed,method,epsilon,steps,step_ratio,cosine_similarity,jpeg_cosine,blur_cosine,resize_cosine
LFW,lfw_06922,Brian De Palma,0,FaceGuard,0.047058823529411764,35,0.125,-0.9065269231796265,-0.8931567668914795,-0.8260930776596069,-0.9003951549530029
LFW,lfw_00378,Stanislas Wawrinka,0,FaceGuard,0.047058823529411764,35,0.125,-0.9143781661987305,-0.8450239896774292,-0.7908807396888733,-0.8936047554016113
LFW,lfw_03570,Troy Jenkins,0,FaceGuard,0.047058823529411764,35,0.125,-0.9222431182861328,-0.8637490272521973,-0.8239898085594177,-0.9106992483139038
LFW,lfw_04621,Calista Flockhart,0,FaceGuard,0.047058823529411764,35,0.125,-0.9038268327713013,-0.8660330772399902,-0.8344720602035522,-0.8971818685531616
LFW,lfw_06976,George W Bush,0,FaceGuard,0.047058823529411764,35,0.125,-0.8972423672676086,-0.8333513140678406,-0.7947065234184265,-0.8819798827171326
LFW,lfw_02130,Brandon Boyd,0,FaceGuard,0.047058823529411764,35,0.125,-0.8644521236419678,-0.7880394458770752,-0.7801190614700317,-0.8394078612327576
LFW,lfw_00614,Ted Williams,0,FaceGuard,0.047058823529411764,35,0.125,-0.9088025093078613,-0.8602417707443237,-0.8426817059516907,-0.9048967957496643
LFW,lfw_01100,Vanessa Incontrada,0,FaceGuard,0.047058823529411764,35,0.125,-0.8904232382774353,-0.8228284120559692,-0.7910683155059814,-0.8796705007553101
LFW,lfw_07732,Pervez Musharraf,0,FaceGuard,0.047058823529411764,35,0.125,-0.917595624923706,-0.8797534108161926,-0.8398807048797607,-0.907516360282898
LFW,lfw_09496,Hamid Karzai,0,FaceGuard,0.047058823529411764,35,0.125,-0.9171061515808105,-0.8818010687828064,-0.8679381012916565,-0.9147065877914429
LFW,lfw_00318,Todd Haynes,0,FaceGuard,0.047058823529411764,35,0.125,-0.9192167520523071,-0.8631126880645752,-0.8215432167053223,-0.9120199680328369
LFW,lfw_10799,John Negroponte,0,FaceGuard,0.047058823529411764,35,0.125,-0.9469311237335205,-0.9101053476333618,-0.8774152398109436,-0.9362386465072632
LFW,lfw_03825,Diana Krall,0,FaceGuard,0.047058823529411764,35,0.125,-0.8559514284133911,-0.7589061260223389,-0.6956565380096436,-0.8363285064697266
LFW,lfw_12536,Michael Chiklis,0,FaceGuard,0.047058823529411764,35,0.125,-0.935356855392456,-0.9120421409606934,-0.8763347268104553,-0.9206533432006836
